流水,类型,信息ID,名称,备注,类型,图标资源,标题1,描述1,标题2,描述2,标题3,描述3,标题4,描述4,标题5,描述5
228,2,4107003,源码供能柱,源码供能柱,人造物,icon_mineral,派系：,源码,材质：,源码,级别：,低,说明,一根源码供能柱，萦绕着源码能量,掉落,
229,2,4107004,源码奇异屋,源码奇异屋,人造物,icon_mineral,派系：,源码,材质：,源码,级别：,低,说明,源码奇异屋,掉落,
230,2,4107005,源码中央喷泉,源码中央喷泉,人造物,icon_mineral,派系：,源码,材质：,源码,级别：,低,说明,源码中央喷泉,掉落,
231,2,4107006,源码魔方,源码魔方,人造物,icon_mineral,派系：,源码,材质：,源码,级别：,低,说明,源码魔方,掉落,
232,2,4107007,源码祭坛,源码祭坛,人造物,icon_mineral,派系：,源码,材质：,源码,级别：,低,说明,源码祭坛,掉落,
233,2,4107008,源码能量箭塔,源码能量箭塔,人造物,icon_mineral,派系：,源码,材质：,源码,级别：,低,说明,源码能量箭塔,掉落,
234,2,4107009,源码奇幻炮塔,源码奇幻炮塔,人造物,icon_mineral,派系：,源码,材质：,源码,级别：,低,说明,源码奇幻炮塔,掉落,
235,2,4107010,源码石柱,源码石柱,人造物,icon_mineral,派系：,源码,材质：,源码,级别：,低,说明,源码石柱,掉落,
236,2,4107011,源码悬浮装置,源码悬浮装置,人造物,icon_mineral,派系：,源码,材质：,源码,级别：,低,说明,源码悬浮装置,掉落,
237,2,4107012,源码碑柱,源码碑柱,人造物,icon_mineral,派系：,源码,材质：,源码,级别：,低,说明,源码碑柱,掉落,
238,2,4107013,源码横梁,源码横梁,人造物,icon_mineral,派系：,源码,材质：,源码,级别：,低,说明,源码横梁,掉落,
239,2,4108001,冰原屋,冰原屋,人造物,icon_mineral,派系：,元素,材质：,冰,级别：,低,说明,冰原屋,掉落,
240,2,4108002,冰原防御塔,冰原防御塔,人造物,icon_mineral,派系：,元素,材质：,冰,级别：,低,说明,冰原防御塔,掉落,
241,2,4108003,冰原雕像,冰原雕像,人造物,icon_mineral,派系：,元素,材质：,冰,级别：,低,说明,冰原雕像,掉落,
242,2,4108004,冰原祭坛,冰原祭坛,人造物,icon_mineral,派系：,元素,材质：,冰,级别：,低,说明,冰原祭坛,掉落,
243,2,4108005,冰原指路牌,冰原指路牌,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,冰原指路牌,掉落,
244,2,4108006,捕鱼口,捕鱼口,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,捕鱼口,掉落,
245,2,4108007,冰原旗帜,冰原旗帜,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,冰原旗帜,掉落,
246,2,4108008,雪地桥左,雪地桥左,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,雪地的桥,掉落,
247,2,4108009,雪地桥右,雪地桥右,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,雪地的桥,掉落,
248,2,4108010,雪地桥,雪地桥,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,雪地的桥,掉落,
249,2,4108011,雪地断桥,雪地断桥,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,雪地的桥,掉落,
250,2,4108012,雪地石板,雪地石板,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,雪地石板,掉落,
251,2,4108013,雪地横石栏杆,雪地横石栏杆,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,雪地栏杆,掉落,
252,2,4108014,雪地纵石栏杆,雪地纵石栏杆,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,雪地栏杆,掉落,
253,2,4108015,雪地散木板,雪地散木板,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,雪地散木板,掉落,
254,2,4108016,雪地短木围栏,雪地短木围栏,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,雪地栏杆,掉落,
255,2,4108017,雪地长木围栏,雪地长木围栏,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,雪地栏杆,掉落,
256,2,4108018,冰原雪橇,冰原雪橇,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,冰原雪橇,掉落,
257,2,4108019,雪人,雪人,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,一个雪人,掉落,
258,2,4108020,祭坛遗迹,祭坛遗迹,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,祭坛遗迹,掉落,
259,2,4108021,雪原告示牌,雪原告示牌,人造物,icon_mineral,派系：,元素,材质：,木制,级别：,低,说明,雪原告示牌,掉落,
260,2,4109001,熔岩堡垒,熔岩堡垒,人造物,icon_mineral,派系：,元素,材质：,石头,级别：,低,说明,熔岩堡垒,掉落,
261,2,4109002,熔岩祭坛,熔岩祭坛,人造物,icon_mineral,派系：,元素,材质：,石头,级别：,低,说明,熔岩祭坛,掉落,
262,2,4109003,熔岩雕像,熔岩雕像,人造物,icon_mineral,派系：,元素,材质：,石头,级别：,低,说明,熔岩雕像,掉落,
263,2,4109004,熔岩堡垒,熔岩堡垒,人造物,icon_mineral,派系：,元素,材质：,石头,级别：,低,说明,熔岩堡垒,掉落,
264,2,4109005,熔岩锻造口,熔岩锻造口,人造物,icon_mineral,派系：,元素,材质：,石头,级别：,低,说明,熔岩锻造口,掉落,
265,2,4109006,熔岩石屋,熔岩石屋,人造物,icon_mineral,派系：,元素,材质：,石头,级别：,低,说明,熔岩石屋,掉落,
266,2,4109007,熔岩告示牌,熔岩告示牌,人造物,icon_mineral,派系：,元素,材质：,石头,级别：,低,说明,熔岩告示牌,掉落,
267,2,4109008,熔岩火晶石,熔岩火晶石,人造物,icon_mineral,派系：,元素,材质：,石头,级别：,低,说明,熔岩火晶石,掉落,
268,2,4109009,熔岩石柱,熔岩石柱,人造物,icon_mineral,派系：,元素,材质：,石头,级别：,低,说明,熔岩石柱,掉落,
269,2,4109010,熔岩旗帜,熔岩旗帜,人造物,icon_mineral,派系：,元素,材质：,石头,级别：,低,说明,熔岩旗帜,掉落,
270,2,4082001,沙漠遗迹,沙漠场景装饰1,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,一个沙漠遗迹,掉落,
271,2,4082002,遗弃铁剑,沙漠场景装饰2,未知,icon_mineral,派系：,元素,材质：,铁制,级别：,低,说明,一把被遗弃的铁剑,掉落,
272,2,4082003,动物骨头,沙漠场景装饰3,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,恐怖的动物骨头,掉落,
273,2,4082004,藤条,沙漠场景装饰4,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,一些藤条,掉落,
274,2,4082005,藤条,沙漠场景装饰5,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,一些藤条,掉落,
275,2,4082006,沙漠巨碑,沙漠场景装饰6,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,一块沙漠巨碑,掉落,
276,2,4082007,遗弃图腾,沙漠场景装饰7,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,遗弃图腾,掉落,
277,2,4088001,巨型蜗牛壳,沙滩场景装饰1,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,巨型蜗牛壳，不知道里面有什么。,掉落,
278,2,4088002,贝壳,沙滩场景装饰2,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,可爱的贝壳,掉落,
279,2,4088003,贝壳,沙滩场景装饰3,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,可爱的贝壳,掉落,
280,2,4088004,海星,沙滩场景装饰4,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,海星，但是好像没法抓,掉落,
281,2,4088005,海星,沙滩场景装饰5,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,海星，但是好像没法抓,掉落,
282,2,4088006,海星,沙滩场景装饰6,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,海星，但是好像没法抓,掉落,
283,2,4088007,冲浪板,沙滩场景装饰7,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,冲浪板，难道有人在这里冲浪？,掉落,
284,2,4088008,冲浪板,沙滩场景装饰8,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,冲浪板，难道有人在这里冲浪？,掉落,
285,2,4088009,寄居蟹巢穴,沙滩场景装饰9,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,螃蟹，你在里面吗？,掉落,
286,2,4088010,寄居蟹巢穴,沙滩场景装饰10,未知,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,螃蟹，你在里面吗？,掉落,
287,2,4081028,遗迹石碑,草原场景装饰28,遗迹,icon_mineral,派系：,元素,材质：,石制,级别：,低,说明,一块遗迹石碑,掉落,
288,2,4081029,遗迹石碑,草原场景装饰29,遗迹,icon_mineral,派系：,元素,材质：,石制,级别：,低,说明,一块遗迹石碑,掉落,
289,2,4081030,源码遗迹,草原场景装饰30,遗迹,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,源码遗迹,掉落,
290,2,4081031,源码遗迹,草原场景装饰31,遗迹,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,源码遗迹,掉落,
291,2,4081032,废弃机器人,草原场景装饰32,遗迹,icon_mineral,派系：,元素,材质：,不明,级别：,低,说明,一个废弃的机器人。,掉落,
